OFFENCE_GROUP_CODE,SUB_CODE,OGRS3_WEIGHTING,SNSV_STATIC_WEIGHTING,SNSV_DYNAMIC_WEIGHTING,SNSV_VATP_STATIC_WEIGHTING,SNSV_VATP_DYNAMIC_WEIGHTING,OPD_VIOL_SEX
008,08,0,0.019270382,-0.006538498,0.238802611,0.204895024,N
008,09,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
008,11,0,0.019270382,-0.006538498,0.331898861,0.200143106,Y
008,13,0,0.019270382,-0.006538498,0.503126183,0.413159451,Y
008,14,0,0.019270382,-0.006538498,0.503126183,0.413159451,Y
008,15,0,0.019270382,-0.006538498,0.503126183,0.413159451,Y
008,16,0,0.019270382,-0.006538498,0.503126183,0.413159451,Y
008,17,0,0.019270382,-0.006538498,0.503126183,0.413159451,Y
008,18,0,0.019270382,-0.006538498,0.503126183,0.413159451,Y
008,19,0,0.019270382,-0.006538498,0.238802611,0.204895024,N
008,20,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
008,21,0,0.019270382,-0.006538498,0,0,Y
008,22,0,0.019270382,-0.006538498,0,0,Y
008,23,0,0.019270382,-0.006538498,0.503126183,0.413159451,Y
008,24,0,0.019270382,-0.006538498,0.503126183,0.413159451,Y
008,25,0,0.019270382,-0.006538498,0.503126183,0.413159451,Y
008,26,0,0.019270382,-0.006538498,0.331898861,0.200143106,Y
008,27,0,0.019270382,-0.006538498,0.331898861,0.200143106,Y
008,28,0,0.019270382,-0.006538498,0.331898861,0.200143106,Y
008,29,0,0.044613202,0.020639683,0,0,Y
008,30,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
008,31,0,0.044613202,0.020639683,0,0,Y
008,32,-0.0607,-0.215779995,0.123617391,0,0,N
008,33,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
008,34,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
008,35,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
008,36,0,0.044613202,0.020639683,0,0,Y
008,37,0,0.044613202,0.020639683,0,0,Y
008,38,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
008,39,0.0328,0.044613202,0.020639683,0,0,Y
008,40,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
008,41,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
008,42,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
008,43,0,0.044613202,0.020639683,0,0,Y
008,44,0,0.044613202,0.020639683,0,0,Y
008,45,0,0.044613202,0.020639683,0,0,Y
008,46,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
008,47,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
008,48,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
008,49,0,0.044613202,0.020639683,0,0,Y
008,50,0,0.044613202,0.020639683,0,0,Y
008,51,0,0.044613202,0.020639683,0,0,Y
008,52,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
008,53,0,0.019270382,-0.006538498,0.331898861,0.200143106,Y
008,54,0,0.019270382,-0.006538498,0.503126183,0.413159451,Y
008,55,0,0.044613202,0.020639683,0,0,Y
008,56,0,0.044613202,0.020639683,0,0,Y
008,57,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
008,58,0,0.044613202,0.020639683,0,0,Y
008,59,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
008,60,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
008,61,0,0.019270382,-0.006538498,0.331898861,0.200143106,Y
008,62,0,0.019270382,-0.006538498,0.331898861,0.200143106,Y
008,63,0,0.019270382,-0.006538498,0.331898861,0.200143106,Y
008,64,0,0.019270382,-0.006538498,0.331898861,0.200143106,Y
008,65,0,0.044613202,0.020639683,0,0,Y
008,66,0,0.044613202,0.020639683,0,0,Y
008,67,0,0.044613202,0.020639683,0,0,Y
008,71,0,0.044613202,0.020639683,0,0,Y
008,72,0,0.044613202,0.020639683,0,0,N
008,73,0,0.019270382,-0.006538498,0.238802611,0.204895024,N
008,74,0,0.044613202,0.020639683,0,0,N
008,75,0,0.019270382,-0.006538498,0.331898861,0.200143106,N
008,76,0,0.019270382,-0.006538498,0.331898861,0.200143106,N
008,77,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
009,00,0.205,0.186977546,0.007780288,0,0,Y
011,00,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
011,02,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
011,03,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
012,00,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
013,00,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
013,01,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
013,02,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
014,00,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
014,01,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
014,02,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
015,00,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
016,00,0.0328,-0.045522889,-0.21117235,0,0,Y
016,02,0.0328,-0.045522889,-0.21117235,0,0,N
016,05,0.0328,-0.045522889,-0.21117235,0,0,N
016,06,0.0328,-0.045522889,-0.21117235,0,0,N
016,11,0.0328,-0.045522889,-0.21117235,0,0,N
016,12,-0.6534,-0.442179128,-0.40700568,0,0,Y
016,13,-0.6534,-0.442179128,-0.40700568,0,0,Y
016,14,-0.6534,-0.442179128,-0.40700568,0,0,Y
016,15,0.0328,-0.045522889,-0.21117235,0,0,Y
016,16,0.0328,-0.045522889,-0.21117235,0,0,Y
016,17,-0.6534,-0.442179128,-0.40700568,0,0,Y
016,18,-0.6534,-0.442179128,-0.40700568,0,0,Y
016,19,-0.6534,-0.442179128,-0.40700568,0,0,Y
016,20,0.0328,-0.045522889,-0.21117235,0,0,Y
016,21,0.0328,-0.045522889,-0.21117235,0,0,Y
016,22,0.0328,-0.045522889,-0.21117235,0,0,Y
016,23,-0.6534,-0.442179128,-0.40700568,0,0,Y
016,24,-0.6534,-0.442179128,-0.40700568,0,0,Y
016,25,-0.6534,-0.442179128,-0.40700568,0,0,Y
016,26,-0.6534,-0.442179128,-0.40700568,0,0,Y
016,27,-0.6534,-0.442179128,-0.40700568,0,0,Y
016,28,-0.6534,-0.442179128,-0.40700568,0,0,Y
017,00,0.0328,-0.045522889,-0.21117235,0,0,Y
017,11,-0.6534,-0.442179128,-0.40700568,0,0,Y
